date,day_of_week,temperature_c,humidity_pct,school_out,ad_spend,website_visits,competitor_promo,lottery_numbers,ice_cream_sales
2023-01-01,Sunday,1.9,72.0,1,78.89,518,0,44,223
2023-01-02,Monday,-0.9,74.0,1,48.65,407,0,36,203
2023-01-03,Tuesday,3.4,80.2,1,43.26,340,0,1,219
2023-01-04,Wednesday,0.7,69.8,0,53.83,410,1,25,137
2023-01-05,Thursday,6.1,76.3,0,35.66,259,0,35,176
2023-01-06,Friday,6.1,74.1,0,54.06,303,0,13,78
2023-01-07,Saturday,1.9,71.3,0,81.26,534,1,15,129
2023-01-08,Sunday,0.3,63.5,0,85.61,529,0,45,122
2023-01-09,Monday,5.4,66.9,0,45.42,336,0,11,91
2023-01-10,Tuesday,2.5,80.8,0,43.28,362,0,4,120
2023-01-11,Wednesday,2.1,74.4,0,47.04,408,0,37,110
2023-01-12,Thursday,0.5,70.8,0,41.9,404,0,16,50
2023-01-13,Friday,1.9,65.6,0,50.04,312,0,24,111
2023-01-14,Saturday,10.5,63.6,0,80.0,508,0,44,193
2023-01-15,Sunday,1.2,74.7,0,55.76,531,0,36,88
2023-01-16,Monday,1.7,71.6,0,35.42,278,0,8,71
2023-01-17,Tuesday,1.6,76.7,0,66.32,434,0,33,98
2023-01-18,Wednesday,-1.0,82.0,0,59.03,445,0,24,40
2023-01-19,Thursday,2.3,65.3,0,52.56,311,1,21,76
2023-01-20,Friday,2.1,61.5,0,72.42,469,0,37,79
2023-01-21,Saturday,3.1,71.3,0,76.63,470,0,9,142
2023-01-22,Sunday,4.1,66.8,0,78.0,517,0,35,100
2023-01-23,Monday,2.2,63.6,0,48.11,309,0,24,51
2023-01-24,Tuesday,3.3,75.1,0,55.38,352,0,15,144
2023-01-25,Wednesday,6.1,70.2,0,53.96,397,1,22,153
2023-01-26,Thursday,3.0,70.2,0,44.44,450,0,31,155
2023-01-27,Friday,2.3,79.5,0,46.81,379,0,23,55
2023-01-28,Saturday,3.5,70.6,0,65.71,457,0,22,112
2023-01-29,Sunday,2.7,69.7,0,85.01,567,1,12,112
2023-01-30,Monday,4.2,77.0,0,45.56,408,1,35,73
2023-01-31,Tuesday,5.8,56.4,0,67.99,386,0,32,66
2023-02-01,Wednesday,3.0,75.1,0,47.17,425,0,30,97
2023-02-02,Thursday,1.6,82.3,0,48.5,266,0,32,101
2023-02-03,Friday,4.3,78.9,0,48.09,272,1,38,94
2023-02-04,Saturday,-3.0,78.9,0,77.32,467,0,12,98
2023-02-05,Sunday,3.0,76.1,0,72.94,528,0,3,96
2023-02-06,Monday,0.8,69.7,0,40.2,304,0,14,57
2023-02-07,Tuesday,0.9,73.6,0,56.01,356,0,5,51
2023-02-08,Wednesday,6.3,70.0,0,46.52,352,0,33,120
2023-02-09,Thursday,8.7,76.7,0,36.79,305,0,46,160
2023-02-10,Friday,0.7,90.4,0,55.11,324,0,36,64
2023-02-11,Saturday,6.6,72.3,0,78.81,497,0,18,161
2023-02-12,Sunday,2.8,76.4,0,72.44,530,0,33,34
2023-02-13,Monday,3.6,73.2,0,47.24,323,1,9,116
2023-02-14,Tuesday,2.0,69.4,0,50.18,300,0,1,154
2023-02-15,Wednesday,7.3,67.5,0,45.6,416,0,28,144
2023-02-16,Thursday,5.0,74.3,0,65.28,365,0,23,133
2023-02-17,Friday,5.4,78.6,0,61.42,461,0,10,104
2023-02-18,Saturday,5.3,68.4,0,90.33,608,0,27,201
2023-02-19,Sunday,4.4,64.2,0,101.08,592,0,18,76
2023-02-20,Monday,6.0,77.7,0,48.92,383,0,13,142
2023-02-21,Tuesday,1.4,69.8,0,67.77,439,0,22,102
2023-02-22,Wednesday,3.9,73.7,0,52.4,328,0,44,151
2023-02-23,Thursday,3.8,74.3,0,49.22,409,0,17,102
2023-02-24,Friday,7.5,70.5,0,41.14,431,0,33,192
2023-02-25,Saturday,7.9,68.9,0,83.9,427,0,44,182
2023-02-26,Sunday,3.7,61.9,0,76.57,418,1,43,164
2023-02-27,Monday,2.9,70.6,0,46.73,421,0,21,72
2023-02-28,Tuesday,3.0,75.1,0,58.44,449,0,44,103
2023-03-01,Wednesday,3.3,66.4,0,46.89,390,0,38,74
2023-03-02,Thursday,3.2,68.7,0,37.19,362,0,48,100
2023-03-03,Friday,6.0,61.3,0,49.85,318,0,44,183
2023-03-04,Saturday,3.5,81.9,0,83.09,506,0,40,131
2023-03-05,Sunday,4.6,63.7,0,88.48,541,0,16,187
2023-03-06,Monday,7.8,75.7,0,66.78,359,0,28,166
2023-03-07,Tuesday,10.0,64.3,0,40.76,217,1,9,132
2023-03-08,Wednesday,6.9,60.6,0,64.73,420,0,29,102
2023-03-09,Thursday,3.3,60.7,0,50.77,255,0,31,80
2023-03-10,Friday,2.0,76.1,0,55.67,354,0,32,73
2023-03-11,Saturday,4.7,75.2,0,85.22,491,0,9,166
2023-03-12,Sunday,7.7,73.2,0,85.38,533,0,22,130
2023-03-13,Monday,5.7,71.7,0,61.48,481,0,49,105
2023-03-14,Tuesday,4.0,68.2,0,59.32,390,0,27,59
2023-03-15,Wednesday,5.8,73.9,0,31.14,261,0,25,115
2023-03-16,Thursday,4.9,78.4,0,46.53,383,0,9,158
2023-03-17,Friday,6.6,76.0,0,44.11,341,0,30,117
2023-03-18,Saturday,8.0,72.5,0,76.38,526,0,25,146
2023-03-19,Sunday,13.4,53.9,0,90.52,419,1,23,232
2023-03-20,Monday,7.6,70.7,0,54.32,386,1,16,147
2023-03-21,Tuesday,8.1,69.9,0,55.83,358,0,45,111
2023-03-22,Wednesday,7.7,74.2,0,31.34,214,0,11,148
2023-03-23,Thursday,7.7,73.6,0,53.01,319,0,46,66
2023-03-24,Friday,9.2,74.9,0,55.26,354,0,20,188
2023-03-25,Saturday,5.5,82.7,0,101.46,566,0,24,122
2023-03-26,Sunday,11.7,68.9,0,92.09,527,0,28,255
2023-03-27,Monday,7.7,72.9,0,37.9,243,0,18,158
2023-03-28,Tuesday,4.5,62.0,0,53.44,321,0,38,107
2023-03-29,Wednesday,13.8,64.8,0,48.02,401,0,40,182
2023-03-30,Thursday,8.0,63.5,0,42.9,352,0,23,151
2023-03-31,Friday,7.1,75.8,0,41.16,343,0,6,137
2023-04-01,Saturday,9.5,73.1,0,74.83,447,0,46,113
2023-04-02,Sunday,9.8,70.3,0,85.73,482,0,31,157
2023-04-03,Monday,7.6,66.7,0,64.48,424,0,30,147
2023-04-04,Tuesday,11.8,68.0,0,56.36,452,0,12,215
2023-04-05,Wednesday,11.5,74.5,0,49.67,453,0,39,176
2023-04-06,Thursday,11.4,67.0,0,58.65,410,0,18,188
2023-04-07,Friday,11.2,66.2,0,45.64,499,0,49,103
2023-04-08,Saturday,10.9,59.9,0,76.89,433,1,31,198
2023-04-09,Sunday,11.4,66.9,0,68.86,445,0,10,217
2023-04-10,Monday,13.5,57.4,0,82.11,562,0,40,258
2023-04-11,Tuesday,11.5,72.6,0,41.7,366,0,28,158
2023-04-12,Wednesday,14.5,55.4,0,41.59,384,0,43,195
2023-04-13,Thursday,13.0,66.3,0,46.51,352,0,45,168
2023-04-14,Friday,10.4,67.3,0,67.62,417,0,17,143
2023-04-15,Saturday,12.6,56.4,0,69.74,326,0,35,205
2023-04-16,Sunday,13.3,63.6,0,87.61,606,0,37,242
2023-04-17,Monday,14.5,59.9,0,43.77,363,0,18,163
2023-04-18,Tuesday,12.3,66.3,0,53.52,339,0,6,202
2023-04-19,Wednesday,13.0,73.1,0,60.67,351,1,49,186
2023-04-20,Thursday,10.9,75.7,0,56.38,312,0,12,187
2023-04-21,Friday,15.5,62.1,0,62.56,273,0,27,199
2023-04-22,Saturday,16.2,65.0,0,75.25,446,0,49,212
2023-04-23,Sunday,10.5,64.1,0,78.75,524,0,26,230
2023-04-24,Monday,9.8,78.9,0,52.41,364,0,40,167
2023-04-25,Tuesday,13.6,55.3,0,52.7,344,0,19,151
2023-04-26,Wednesday,15.1,74.2,0,70.89,414,0,36,210
2023-04-27,Thursday,16.4,62.0,0,55.36,507,1,8,217
2023-04-28,Friday,12.8,68.9,0,48.93,354,0,31,156
2023-04-29,Saturday,14.3,70.8,0,65.56,520,0,9,234
2023-04-30,Sunday,12.8,65.9,0,72.35,519,0,19,188
2023-05-01,Monday,13.8,52.3,0,39.53,296,0,29,163
2023-05-02,Tuesday,14.1,56.2,0,48.41,319,0,45,212
2023-05-03,Wednesday,15.0,68.5,0,58.8,357,0,31,200
2023-05-04,Thursday,10.6,59.4,0,62.15,490,0,3,89
2023-05-05,Friday,19.7,69.9,0,50.21,400,0,7,219
2023-05-06,Saturday,14.9,61.6,0,72.38,434,0,17,208
2023-05-07,Sunday,13.5,71.7,0,71.02,354,0,35,188
2023-05-08,Monday,17.1,58.9,0,35.99,337,1,41,218
2023-05-09,Tuesday,15.0,58.1,0,53.17,412,0,49,167
2023-05-10,Wednesday,12.2,56.2,0,57.91,418,0,19,184
2023-05-11,Thursday,14.4,68.0,0,52.98,447,0,12,216
2023-05-12,Friday,17.2,66.6,0,42.53,357,1,30,306
2023-05-13,Saturday,14.6,57.8,0,71.96,341,0,19,213
2023-05-14,Sunday,15.3,57.2,0,85.96,428,0,17,210
2023-05-15,Monday,14.7,64.2,0,72.27,452,1,25,182
2023-05-16,Tuesday,15.5,67.2,0,52.32,470,0,37,211
2023-05-17,Wednesday,19.9,50.9,0,74.39,439,0,19,278
2023-05-18,Thursday,15.4,63.6,0,46.08,378,0,43,239
2023-05-19,Friday,16.8,58.2,0,64.27,473,1,29,270
2023-05-20,Saturday,18.0,69.1,0,98.9,517,0,35,302
2023-05-21,Sunday,19.3,55.1,0,74.82,461,0,31,297
2023-05-22,Monday,17.3,68.2,0,39.69,316,0,15,231
2023-05-23,Tuesday,20.5,50.8,0,78.78,456,0,24,311
2023-05-24,Wednesday,19.4,58.8,0,57.98,335,0,25,302
2023-05-25,Thursday,20.8,45.2,0,58.55,432,1,36,250
2023-05-26,Friday,21.3,52.4,0,41.53,254,0,8,280
2023-05-27,Saturday,22.3,67.9,0,79.02,542,1,35,325
2023-05-28,Sunday,20.6,53.3,0,68.47,499,0,10,265
2023-05-29,Monday,21.4,51.7,0,59.9,338,0,18,313
2023-05-30,Tuesday,19.3,45.4,0,61.52,432,0,35,248
2023-05-31,Wednesday,21.9,52.1,0,60.46,430,0,30,304
2023-06-01,Thursday,20.0,48.4,0,32.56,365,0,37,260
2023-06-02,Friday,20.5,69.0,0,40.52,315,0,15,250
2023-06-03,Saturday,20.6,58.5,0,82.62,510,1,17,270
2023-06-04,Sunday,19.8,56.0,0,86.63,479,0,16,275
2023-06-05,Monday,19.3,58.9,0,58.28,378,1,29,267
2023-06-06,Tuesday,20.2,51.4,0,62.29,463,0,3,258
2023-06-07,Wednesday,14.4,60.4,0,46.02,352,0,26,197
2023-06-08,Thursday,18.8,60.8,0,50.63,314,0,21,239
2023-06-09,Friday,19.4,57.8,0,67.17,384,0,34,255
2023-06-10,Saturday,19.3,66.0,0,67.13,480,1,42,228
2023-06-11,Sunday,16.7,60.5,0,76.38,426,0,30,252
2023-06-12,Monday,17.0,66.7,0,49.92,423,0,10,216
2023-06-13,Tuesday,17.8,62.5,0,55.55,304,0,9,266
2023-06-14,Wednesday,17.3,58.0,0,45.0,337,1,23,290
2023-06-15,Thursday,16.3,49.7,1,63.66,470,0,7,362
2023-06-16,Friday,19.1,57.4,1,49.38,337,1,36,331
2023-06-17,Saturday,23.9,45.8,1,75.19,555,0,40,353
2023-06-18,Sunday,19.4,52.3,1,72.02,396,0,2,410
2023-06-19,Monday,24.4,53.1,1,61.87,538,0,26,432
2023-06-20,Tuesday,24.7,59.0,1,57.72,397,0,25,401
2023-06-21,Wednesday,22.1,50.3,1,65.07,441,1,4,365
2023-06-22,Thursday,23.5,64.2,1,57.37,408,0,28,380
2023-06-23,Friday,21.4,56.0,1,70.05,493,0,44,430
2023-06-24,Saturday,18.7,55.6,1,80.95,523,0,4,416
2023-06-25,Sunday,21.4,58.3,1,88.77,509,1,48,448
2023-06-26,Monday,20.2,59.8,1,46.44,354,0,43,384
2023-06-27,Tuesday,20.5,59.3,1,51.3,514,0,37,395
2023-06-28,Wednesday,19.2,61.9,1,48.3,331,0,21,411
2023-06-29,Thursday,26.9,44.2,1,57.38,359,1,28,479
2023-06-30,Friday,19.0,55.5,1,46.76,395,0,22,371
2023-07-01,Saturday,20.7,53.1,1,74.49,497,0,42,458
2023-07-02,Sunday,22.4,52.6,1,87.66,538,0,49,426
2023-07-03,Monday,20.7,66.1,1,49.42,298,0,44,397
2023-07-04,Tuesday,24.6,51.3,1,44.44,292,0,41,405
2023-07-05,Wednesday,24.3,46.9,1,56.44,421,0,5,380
2023-07-06,Thursday,20.8,64.1,1,71.41,490,1,6,369
2023-07-07,Friday,19.9,51.3,1,56.69,432,0,37,311
2023-07-08,Saturday,20.6,53.8,1,78.11,479,1,7,428
2023-07-09,Sunday,17.5,63.1,1,83.32,481,0,29,368
2023-07-10,Monday,18.5,58.5,1,39.13,438,0,22,355
